#,Nickname,Fighter's ID,Rank,LP,W/L,Matches,W/L,Matches,Character,DOJO,Last play,
1,미닛메이드,DelMonteOrange,GrandMaster,86216,67.91%,6073,70.85%,10823,CAMMY,Mental_Hospital,2018-10-18,●
2,장테,kortazang,GrandMaster,73120,71.34%,7596,70.49%,9956,ZANGIEF,Red_Pants,2018-10-17,●
3,치킨,IIDX_CHIKEN_PS4,GrandMaster,61183,65.94%,3673,65.35%,3962,MENAT,InSu-Dan,2018-10-17,●
4,암핏,armpitplay,GrandMaster,51594,67.60%,28279,64.78%,41881,KEN,Mental_Hospital,2018-10-18,●
5,씨름맨,KR_WrestlingMan,GrandMaster,35273,65.78%,5088,63.16%,10271,R.MIKA,,2018-10-06,●
6,,information,GrandMaster,35243,65.55%,4854,59.22%,18479,DICTATOR,,2018-10-14,●
7,동동,MnR-DongDong2,GrandMaster,35028,63.63%,3885,64.39%,9401,IBUKI,,2018-10-06,●
8,린보찡,rinbo7-pc,Master,30033,63.74%,2016,67.67%,6025,GUILE,SilverTown,2018-10-17,●
9,콩티렉스,kongtrex,Master,30021,64.79%,2025,77.18%,21018,DICTATOR,,2018-10-17,●
10,효원이아빠,HyoWonDaddy,UltraDiamond,27288,47.92%,8736,49.96%,19735,GUILE,HyoWon,2018-10-16,●
11,갑니PR,GubniPR,UltraDiamond,25506,47.94%,7484,49.34%,10759,GOUKI,TeamDPS,2018-10-13,●
12,우주괴수,ContaNaVi,UltraDiamond,25450,61.26%,1172,64.73%,2580,JURI,,2018-10-09,●
13,블루문,Azuremoon,UltraDiamond,25376,66.67%,747,67.84%,1387,CHUN-LI,,2018-10-08,●
14,사모예드,Samoyed,UltraDiamond,25364,62.58%,1069,65.73%,20757,CLAW,Only_Claw,2018-10-18,●
15,다크화니,darkHwany,SuperDiamond,24838,45.74%,15014,45.81%,16447,RYU,Ryu-Nation,2018-10-17,●
16,캣메이어,CatMayor,SuperDiamond,24614,48.48%,10154,49.99%,11457,JURI,,2018-10-17,●
17,라크노스,Raknos,SuperDiamond,21462,57.61%,795,52.99%,10238,R.MIKA,Raknos-Inn,2018-10-17,●
18,쏭두,SSONGDOO_TV,SuperDiamond,21078,47.07%,2507,50.79%,3595,RYU,Shin_Syoryuken,2018-10-16,●
19,여우비,FoxRain-Pc,SuperDiamond,20138,49.82%,1977,53.96%,3273,JURI,,2018-09-18,●
20,윤비게일,Scutum,SuperDiamond,20090,45.54%,2903,43.16%,14510,ABIGAIL,,2018-09-12,●
21,4달라,FourDollar,SuperDiamond,20083,55.78%,1047,59.26%,2425,SAGAT,GOMSTOWN,2018-10-17,●
22,아태,ATAEDIE,SuperDiamond,20033,52.44%,2151,49.02%,12776,BLANKA,Raknos-Inn,2018-10-16,●
23,킥밤,KickBomb,SuperDiamond,20028,50.38%,2086,47.92%,3940,CHUN-LI,SilverTown,2018-10-15,●
24,히즈미,esw310,Diamond,19820,46.72%,6012,47.79%,8887,URIEN,Braveman,2018-10-16,●
25,자드,KOR_ZARD,Diamond,19801,67.76%,580,74.27%,3288,R.MIKA,SPIRITZERO,2018-10-18,●
26,레드플라워,REDFLOWER,Diamond,19604,44.36%,19585,44.26%,20831,KARIN,,2018-10-17,●
27,빨간탈포스,Rmaskforce_PS4,Diamond,18859,51.98%,1897,52.22%,2338,RASHID,MalpAnga,2018-10-14,●
28,알마,almaloss,Diamond,18813,52.69%,2338,47.09%,7862,G,Raknos-Inn,2018-10-17,●
29,욘두,YunduUdonta,Diamond,18082,51.86%,2898,51.99%,3687,URIEN,Braveman,2018-10-17,●
30,루팡,SalaryLupin,Diamond,17945,45.63%,4425,45.74%,6968,LAURA,NOKZODAN,2018-10-16,●
31,카톡,KaKaoTalk,Diamond,16905,53.30%,1743,56.06%,3416,CLAW,Only_Claw,2018-10-15,●
32,쓰랄,Thrall_77,Diamond,16815,45.17%,26949,44.26%,29487,NASH,Shin_Syoryuken,2018-10-17,●
33,잎,Cittadi,Diamond,16000,52.77%,1533,44.19%,6388,DICTATOR,,2018-10-15,●
34,압도,Dominant_PS4,Diamond,15044,65.28%,625,61.47%,3218,SAGAT,Braveman,2018-10-17,●
35,에드랑꼬,JaebumPark,Diamond,14349,63.72%,634,47.70%,3111,ED,Psycho-Snatcher,2018-10-18,●
36,티버레이크,Tiberlake,Diamond,14075,46.62%,2711,49.76%,8434,BOXER,Sakura,2018-10-13,●
37,민님,extremin,Diamond,14060,50.56%,10559,52.96%,21757,CAMMY,,2018-10-17,●
38,벨거,Baninrok,Diamond,14039,55.88%,1378,51.09%,3245,CODY,-Metro_City-,2018-10-17,●
39,코두리,DBsang-steam,UltraPlatinum,13897,52.85%,2212,42.42%,4734,FALKE,,2018-09-27,●
40,,GuardJung,UltraPlatinum,13322,48.83%,6008,44.63%,8138,NASH,Mental_Hospital,2018-10-17,●
41,행인,Hang-In,UltraPlatinum,13125,40.53%,20722,40.91%,21780,RYU,,2018-10-17,●
42,,kor_bbom,UltraPlatinum,12811,49.19%,7931,48.18%,18516,RYU,Ryu-Nation,2018-10-18,●
43,마사,isamix,UltraPlatinum,12327,53.99%,1906,56.25%,2992,KEN,Sakura,2018-10-17,●
44,머쓸빠워,notpsycho,UltraPlatinum,12075,61.18%,729,48.52%,3957,ZANGIEF,,2018-10-18,●
45,,EXTRAUSER,SuperPlatinum,10615,53.64%,1579,33.71%,6019,RYU,,2018-10-18,●
46,진수가,artheaven,SuperPlatinum,10537,52.46%,7251,52.07%,9243,KEN,TeamDPS,2018-10-17,●
47,젤리샵,JellyShoP,SuperPlatinum,10352,49.74%,2272,39.32%,8396,CAMMY,,2018-10-13,●
48,악철,akchul,SuperPlatinum,10035,53.18%,1463,52.77%,1861,URIEN,Braveman,2018-10-17,●
49,,Panzerdivision,Platinum,9970,56.35%,740,49.87%,9583,BIRDIE,Haki-Kyaku,2018-10-17,●
50,테시스,Tecith,Platinum,9597,50.40%,2994,44.44%,5425,CAMMY,,2018-10-14,●
51,후비고,hubigo,Platinum,9404,54.91%,1293,51.29%,2484,GUILE,,2018-09-23,●
52,큐폿,q-port,Platinum,9217,53.59%,1491,50.51%,2847,NECALLI,,2018-09-27,●
53,뉴비식스,Animal6,Platinum,8295,75.00%,232,38.40%,15426,CHUN-LI,LOUNGE,2018-10-18,●
54,빈토,SFV_Binto,Platinum,7905,44.84%,4556,41.69%,6404,NASH,Shin_Syoryuken,2018-10-16,●
55,사쿨,Sakul_Sakul,Platinum,7592,49.24%,2500,45.68%,7692,CAMMY,GOD_NL,2018-10-17,●
56,시테,LastOfAkiha,Platinum,7551,53.11%,996,49.85%,3884,KARIN,aomaDOJO,2018-10-14,●
57,라쟌,Razahn,UltraGold,7422,57.69%,657,53.46%,5496,BOXER,,2018-10-17,●
58,윤권,yunkwon,UltraGold,7210,51.83%,1885,40.12%,10248,KEN,Mental_Hospital,2018-10-18,●
59,신형준,kimboram,UltraGold,6817,58.50%,506,60.53%,869,GUILE,,2018-09-19,●
60,제쿠,John-Wick,SuperGold,6078,49.28%,4734,48.72%,5160,ZEKU,,2018-10-18,●
61,기파랑,sfktj-karin,SuperGold,5959,51.24%,964,51.12%,3224,KEN,,2018-09-01,●
62,나락가마,son01420309,SuperGold,5875,60.14%,414,53.54%,749,DHALSIM,,2018-10-18,●
63,하야센,hayasen,SuperGold,5657,51.61%,1893,45.10%,12586,RYU,Ryu-Nation,2018-10-16,●
64,신스퀘어,Sinsquare,SuperGold,5592,48.95%,5694,46.20%,7665,ALEX,French-fries,2018-10-17,●
65,앜하밭하,akavata,SuperGold,5525,49.51%,7074,41.95%,10352,LAURA,SPIRITZERO,2018-10-17,●
66,헐랭이손,dhschenk,Gold,5405,49.69%,3592,50.46%,6252,RYU,Shin_Syoryuken,2018-10-17,●
67,아침,Hanna_KR,Gold,5292,50.09%,3186,45.28%,3896,RYU,Shin_Syoryuken,2018-10-18,●
68,우키조아,Justice84,Gold,5290,59.54%,393,58.42%,457,GOUKI,,2018-10-10,●
69,불곰,NopeinNogein,Gold,5132,52.44%,1207,39.04%,2505,GOUKI,Shin_Syoryuken,2018-10-18,●
70,갓주홍,GODJUHONG,Gold,4219,51.34%,2536,43.86%,4273,RYU,,2018-10-11,●
71,록맨,RockmanHH,Gold,4060,51.13%,2163,46.29%,5103,KARIN,,2018-10-04,●
72,오렌지페코,pekoshin,Gold,4058,51.27%,1492,49.35%,5141,GUILE,PekoshinDojjo,2018-10-17,●
73,,thealto,Gold,4056,49.95%,3858,46.27%,4867,CODY,windog,2018-10-18,●
74,마그마,MagmaAxis,Gold,4018,50.15%,325,32.82%,2011,GUILE,,2018-09-27,●
75,귀욤,I_am_chobo,Gold,4003,81.82%,88,64.80%,7603,GUILE,,2018-10-16,●
76,에레스비,LSBSBLSB,UltraSilver,3627,52.34%,1024,49.67%,1228,IBUKI,Mental_Hospital,2018-10-16,●
77,망고,Xiller,SuperSilver,3439,51.56%,576,46.53%,821,R.MIKA,,2018-10-07,●
78,도미,ImDomi,SuperSilver,3397,52.47%,1536,50.08%,1943,GOUKI,Married-MAN-CLUB,2018-10-17,●
79,옴니버스,0mnibus,SuperSilver,3296,63.80%,163,57.95%,459,KARIN,SPIRITZERO,2018-10-17,●
80,엘렌가든,ellengarden,SuperSilver,3054,52.89%,554,44.39%,847,IBUKI,SilverTown,2018-10-13,●
81,,insanity_player,SuperSilver,3023,51.30%,846,46.99%,2296,DICTATOR,LOUNGE,2018-10-17,●
82,노드,Hand_of_Nod,SuperSilver,3005,51.98%,479,41.45%,1568,URIEN,,2018-10-16,●
83,,NaKwang,SuperSilver,3004,48.71%,349,43.83%,4787,ABIGAIL,MalpAnga,2018-10-18,●
84,쿠마,lee30111,Silver,2994,56.36%,330,53.00%,2053,ZANGIEF,Red_Pants,2018-10-17,●
85,란테르트,Rantert_choo,Silver,2686,49.19%,807,48.18%,2970,BOXER,LOUNGE,2018-10-17,●
86,햄순,MARUNARAE,Silver,2475,47.42%,757,37.61%,1848,JURI,,2018-10-17,●
87,쿠밤밤,kubambam,Silver,2472,54.96%,282,44.82%,839,KARIN,,2018-08-12,●
88,골든망고,GOLDENMANGGO,Silver,2306,40.07%,2149,35.26%,2890,NECALLI,,2018-10-18,●
89,스린이1,ryurisa,Silver,2262,53.54%,325,53.21%,327,KARIN,,2018-10-17,●
90,아하이,AHIIII,Silver,2047,74.60%,63,38.47%,707,CAMMY,,2018-10-17,●
