#,Nickname,Fighter's ID,Rank,LP,W/L,Matches,W/L,Matches,Character,DOJO,Last play,
1,미닛메이드,DelMonteOrange,GrandMaster,86216,67.91%,6073,70.90%,10799,CAMMY,Mental_Hospital,2018-10-17,●
2,장테,kortazang,GrandMaster,73120,71.34%,7596,70.49%,9956,ZANGIEF,Red_Pants,2018-10-17,●
3,치킨,IIDX_CHIKEN_PS4,GrandMaster,60918,65.91%,3670,65.32%,3959,MENAT,InSu-Dan,2018-10-17,●
4,암핏,armpitplay,GrandMaster,51832,67.61%,28274,64.78%,41858,KEN,Mental_Hospital,2018-10-17,●
5,씨름맨,KR_WrestlingMan,GrandMaster,35273,65.78%,5088,63.16%,10271,R.MIKA,,2018-10-06,●
6,,information,GrandMaster,35243,65.55%,4854,59.22%,18479,DICTATOR,,2018-10-14,●
7,동동,MnR-DongDong2,GrandMaster,35028,63.63%,3885,64.39%,9401,IBUKI,,2018-10-06,●
8,린보찡,rinbo7-pc,Master,30033,63.74%,2016,67.66%,6018,GUILE,SilverTown,2018-10-17,●
9,콩티렉스,kongtrex,Master,30021,64.79%,2025,77.18%,21018,DICTATOR,,2018-10-17,●
10,효원이아빠,HyoWonDaddy,UltraDiamond,27288,47.92%,8736,49.96%,19735,GUILE,HyoWon,2018-10-16,●
11,사복,Sybox85,UltraDiamond,25687,54.02%,2138,61.60%,4851,BOXER,,2018-10-17,●
12,갑니PR,GubniPR,UltraDiamond,25506,47.94%,7484,49.34%,10759,GOUKI,TeamDPS,2018-10-13,●
13,우주괴수,ContaNaVi,UltraDiamond,25450,61.26%,1172,64.73%,2580,JURI,,2018-10-09,●
14,블루문,Azuremoon,UltraDiamond,25376,66.67%,747,67.84%,1387,CHUN-LI,,2018-10-08,●
15,사모예드,Samoyed,UltraDiamond,25364,62.58%,1069,65.70%,20742,CLAW,Only_Claw,2018-10-17,●
16,다크화니,darkHwany,SuperDiamond,24709,45.75%,15007,45.81%,16440,RYU,Ryu-Nation,2018-10-17,●
17,캣메이어,CatMayor,SuperDiamond,24689,48.50%,10148,50.00%,11451,JURI,,2018-10-17,●
18,라크노스,Raknos,SuperDiamond,21462,57.61%,795,53.02%,10199,R.MIKA,Raknos-Inn,2018-10-17,●
19,쏭두,SSONGDOO_TV,SuperDiamond,21078,47.07%,2507,50.79%,3595,RYU,Shin_Syoryuken,2018-10-16,●
20,여우비,FoxRain-Pc,SuperDiamond,20138,49.82%,1977,53.96%,3273,JURI,,2018-09-18,●
21,윤비게일,Scutum,SuperDiamond,20090,45.54%,2903,43.16%,14510,ABIGAIL,,2018-09-12,●
22,4달라,FourDollar,SuperDiamond,20083,55.78%,1047,59.29%,2417,SAGAT,GOMSTOWN,2018-10-16,●
23,아태,ATAEDIE,SuperDiamond,20033,52.44%,2151,49.02%,12776,BLANKA,Raknos-Inn,2018-10-16,●
24,킥밤,KickBomb,SuperDiamond,20028,50.38%,2086,47.92%,3940,CHUN-LI,SilverTown,2018-10-15,●
25,히즈미,esw310,Diamond,19820,46.72%,6012,47.79%,8887,URIEN,Braveman,2018-10-16,●
26,자드,KOR_ZARD,Diamond,19801,67.76%,580,74.27%,3288,R.MIKA,SPIRITZERO,2018-10-16,●
27,레드플라워,REDFLOWER,Diamond,19604,44.36%,19585,44.26%,20831,KARIN,,2018-10-17,●
28,알마,almaloss,Diamond,19123,52.93%,2322,47.11%,7820,G,Raknos-Inn,2018-10-15,●
29,빨간탈포스,Rmaskforce_PS4,Diamond,18859,51.98%,1897,52.22%,2338,RASHID,MalpAnga,2018-10-14,●
30,루팡,SalaryLupin,Diamond,17945,45.63%,4425,45.74%,6968,LAURA,NOKZODAN,2018-10-16,●
31,욘두,YunduUdonta,Diamond,17937,52.12%,2855,52.25%,3627,URIEN,Braveman,2018-10-17,●
32,카톡,KaKaoTalk,Diamond,16905,53.30%,1743,56.06%,3416,CLAW,Only_Claw,2018-10-15,●
33,쓰랄,Thrall_77,Diamond,16815,45.17%,26949,44.26%,29487,NASH,Shin_Syoryuken,2018-10-17,●
34,잎,Cittadi,Diamond,16000,52.77%,1533,44.19%,6388,DICTATOR,,2018-10-15,●
35,압도,Dominant_PS4,Diamond,15044,65.28%,625,61.47%,3218,SAGAT,Braveman,2018-10-17,●
36,에드랑꼬,JaebumPark,Diamond,14417,63.82%,633,47.90%,3065,ED,Psycho-Snatcher,2018-10-16,●
37,티버레이크,Tiberlake,Diamond,14075,46.62%,2711,49.76%,8434,BOXER,Sakura,2018-10-13,●
38,민님,extremin,Diamond,14060,50.56%,10559,52.95%,21735,CAMMY,,2018-10-16,●
39,벨거,Baninrok,Diamond,14039,55.88%,1378,51.00%,3239,CODY,-Metro_City-,2018-10-16,●
40,코두리,DBsang-steam,UltraPlatinum,13897,52.85%,2212,42.42%,4734,FALKE,,2018-09-27,●
41,,GuardJung,UltraPlatinum,13322,48.83%,6008,44.63%,8138,NASH,Mental_Hospital,2018-10-15,●
42,,kor_bbom,UltraPlatinum,12811,49.19%,7931,48.18%,18516,RYU,Ryu-Nation,2018-10-17,●
43,행인,Hang-In,UltraPlatinum,12541,40.51%,20695,40.89%,21753,RYU,,2018-10-16,●
44,마사,isamix,UltraPlatinum,12327,53.99%,1906,56.25%,2992,KEN,Sakura,2018-10-13,●
45,머쓸빠워,notpsycho,SuperPlatinum,10620,60.86%,654,48.23%,3881,ZANGIEF,,2018-10-17,●
46,,EXTRAUSER,SuperPlatinum,10615,53.64%,1579,33.71%,6019,RYU,,2018-10-17,●
47,진수가,artheaven,SuperPlatinum,10537,52.46%,7251,52.07%,9243,KEN,TeamDPS,2018-10-17,●
48,젤리샵,JellyShoP,SuperPlatinum,10352,49.74%,2272,39.32%,8396,CAMMY,,2018-10-13,●
49,악철,akchul,SuperPlatinum,10035,53.18%,1463,52.77%,1861,URIEN,Braveman,2018-10-17,●
50,,Panzerdivision,SuperPlatinum,10007,56.48%,733,49.90%,9567,BIRDIE,Haki-Kyaku,2018-10-16,●
51,테시스,Tecith,Platinum,9597,50.40%,2994,44.44%,5425,CAMMY,,2018-10-14,●
52,후비고,hubigo,Platinum,9404,54.91%,1293,51.29%,2484,GUILE,,2018-09-23,●
53,큐폿,q-port,Platinum,9217,53.59%,1491,50.51%,2847,NECALLI,,2018-09-27,●
54,빈토,SFV_Binto,Platinum,7905,44.84%,4556,41.69%,6404,NASH,Shin_Syoryuken,2018-10-16,●
55,사쿨,Sakul_Sakul,Platinum,7592,49.24%,2500,45.71%,7687,CAMMY,GOD_NL,2018-10-17,●
56,시테,LastOfAkiha,Platinum,7551,53.11%,996,49.85%,3884,KARIN,aomaDOJO,2018-10-14,●
57,라쟌,Razahn,UltraGold,7422,57.69%,657,53.46%,5496,BOXER,,2018-10-17,●
58,뉴비식스,Animal6,UltraGold,7350,74.65%,213,38.37%,15385,CHUN-LI,LOUNGE,2018-10-17,●
59,윤권,yunkwon,UltraGold,7210,51.83%,1885,39.97%,10203,KEN,Mental_Hospital,2018-10-17,●
60,신형준,kimboram,UltraGold,6817,58.50%,506,60.53%,869,GUILE,,2018-09-19,●
61,제쿠,John-Wick,SuperGold,6385,49.33%,4729,48.77%,5155,ZEKU,,2018-10-16,●
62,아침,Hanna_KR,SuperGold,6231,50.24%,3153,45.35%,3863,RYU,Shin_Syoryuken,2018-10-14,●
63,나락가마,son01420309,SuperGold,5999,60.88%,386,53.68%,721,DHALSIM,,2018-10-17,●
64,기파랑,sfktj-karin,SuperGold,5959,51.24%,964,51.12%,3224,KEN,,2018-09-01,●
65,하야센,hayasen,SuperGold,5657,51.61%,1893,45.10%,12586,RYU,Ryu-Nation,2018-10-16,●
66,신스퀘어,Sinsquare,SuperGold,5592,48.95%,5694,46.20%,7665,ALEX,French-fries,2018-10-17,●
67,앜하밭하,akavata,SuperGold,5525,49.51%,7074,41.99%,10335,LAURA,SPIRITZERO,2018-10-15,●
