#,Nickname,Fighter's ID,Rank,LP,W/L,Matches,W/L,Matches,Character,DOJO,Last play,
1,미닛메이드,DelMonteOrange,GrandMaster,77512,67.14%,5730,70.44%,10350,CAMMY,Mental_Hospital,2018-10-10,●
2,장테,kortazang,GrandMaster,69009,71.10%,7240,70.35%,9539,BIRDIE,Red_Pants,2018-10-10,●
3,치킨,IIDX_CHIKEN_PS4,GrandMaster,57109,65.39%,3545,64.85%,3827,MENAT,InSu-Dan,2018-10-10,●
4,오블맘,oblmom,GrandMaster,51536,69.97%,5161,70.60%,6728,GUILE,ssonicboom,2018-10-06,●
5,암핏,armpitplay,GrandMaster,50374,67.59%,28225,64.73%,41733,GOUKI,Mental_Hospital,2018-10-10,●
6,씨름맨,KR_WrestlingMan,GrandMaster,35273,65.78%,5088,63.16%,10271,R.MIKA,,2018-10-06,●
7,,information,GrandMaster,35243,65.55%,4854,59.22%,18474,DICTATOR,,2018-10-10,●
8,동동,MnR-DongDong2,GrandMaster,35028,63.63%,3885,64.39%,9401,IBUKI,,2018-10-06,●
9,린보찡,rinbo7-pc,Master,30033,63.74%,2016,67.52%,5936,GUILE,,2018-10-10,●
10,사복,Sybox85,UltraDiamond,25529,53.94%,2132,61.60%,4677,ZEKU,,2018-10-10,●
11,우주괴수,ContaNaVi,UltraDiamond,25450,61.26%,1172,64.73%,2580,JURI,,2018-10-09,●
12,블루문,Azuremoon,UltraDiamond,25376,66.67%,747,67.84%,1387,CHUN-LI,,2018-10-08,●
13,사모예드,Samoyed,UltraDiamond,25364,62.58%,1069,65.68%,20556,CLAW,Only_Claw,2018-10-10,●
14,빈방,emptyroom,UltraDiamond,25071,59.54%,1310,56.78%,1756,G,GOD_NL,2018-10-10,●
15,지옥불반도,JIOKBULBANDO_PS4,SuperDiamond,24796,52.36%,4391,52.31%,4693,BIRDIE,E-BODY,2018-10-09,●
16,캣메이어,CatMayor,SuperDiamond,24650,48.38%,9963,49.92%,11266,JURI,,2018-10-10,●
17,다크화니,darkHwany,SuperDiamond,24560,45.74%,14958,45.81%,16377,RYU,Ryu-Nation,2018-10-08,●
18,라크노스,Raknos,SuperDiamond,21462,57.61%,795,53.13%,10041,R.MIKA,Raknos-Inn,2018-10-10,●
19,쏭두,SSONGDOO_TV,SuperDiamond,20156,47.15%,2354,51.10%,3376,RYU,Shin_Syoryuken,2018-10-09,●
20,여우비,FoxRain-Pc,SuperDiamond,20138,49.82%,1977,53.96%,3273,JURI,,2018-09-18,●
21,윤비게일,Scutum,SuperDiamond,20090,45.54%,2903,43.16%,14510,ABIGAIL,,2018-09-12,●
22,4달라,FourDollar,SuperDiamond,20083,55.78%,1047,59.08%,2329,SAGAT,GOMSTOWN,2018-10-09,●
23,킥밤,KickBomb,SuperDiamond,20028,50.38%,2086,47.92%,3923,CHUN-LI,SilverTown,2018-09-28,●
