#,Nickname,Fighter's ID,Rank,LP,W/L,Matches,W/L,Matches,Character,DOJO,Last play,
54,사쿨,Sakul_Sakul,Platinum,7592,49.24%,2500,45.52%,7568,CAMMY,GOD_NL,2018-10-08,●
55,시테,LastOfAkiha,UltraGold,7337,53.14%,971,50.01%,3663,KARIN,aomaDOJO,2018-10-07,●
56,윤권,yunkwon,UltraGold,7277,51.86%,1880,39.98%,10158,KEN,Mental_Hospital,2018-10-07,●
57,MC쿠마,MCjintai_go,UltraGold,7132,56.89%,682,63.20%,3383,ABIGAIL,SPIRITZERO,2018-10-09,●
58,신형준,kimboram,UltraGold,6817,58.50%,506,60.53%,869,GUILE,,2018-09-19,●
59,알트키,ALT_KEY,UltraGold,6779,53.69%,868,45.97%,6210,CAMMY,,2018-10-07,●
60,제쿠,John-Wick,UltraGold,6505,49.29%,4443,48.70%,4869,ZEKU,,2018-10-08,●
61,헐랭이손,dhschenk,SuperGold,6455,49.92%,3550,49.89%,6029,RYU,Shin_Syoryuken,2018-10-08,●
62,뉴비식스,Animal6,SuperGold,5960,74.14%,174,38.09%,14952,CHUN-LI,LOUNGE,2018-10-09,●
63,기파랑,sfktj-karin,SuperGold,5959,51.24%,964,51.12%,3224,KEN,,2018-09-01,●
64,나락가마,son01420309,SuperGold,5828,63.16%,285,53.68%,557,DHALSIM,,2018-10-07,●
65,아침,Hanna_KR,SuperGold,5789,50.16%,3052,45.30%,3735,RYU,Shin_Syoryuken,2018-10-06,●
66,하야센,hayasen,SuperGold,5657,51.61%,1893,45.07%,12510,RYU,Ryu-Nation,2018-10-08,●
67,신스퀘어,Sinsquare,SuperGold,5536,48.94%,5691,46.25%,7576,ALEX,French-fries,2018-10-08,●
68,우키조아,Justice84,Gold,5460,60.96%,356,59.52%,420,GOUKI,,2018-10-09,●
69,불곰,NopeinNogein,Gold,5273,52.66%,1164,39.37%,2398,GOUKI,Shin_Syoryuken,2018-10-04,●
70,앜하밭하,akavata,Gold,4258,49.44%,6954,42.05%,10055,LAURA,SPIRITZERO,2018-10-08,●
71,갓주홍,GODJUHONG,Gold,4219,51.34%,2536,44.04%,4201,RYU,,2018-10-04,●
72,오렌지페코,pekoshin,Gold,4099,51.39%,1438,48.97%,4997,GUILE,PekoshinDojjo,2018-10-08,●
73,록맨,RockmanHH,Gold,4060,51.13%,2163,46.29%,5103,KARIN,,2018-10-04,●
74,,thealto,Gold,4056,49.95%,3858,46.56%,4648,CODY,windog,2018-10-09,●
75,마그마,MagmaAxis,Gold,4018,50.15%,325,32.82%,2011,GUILE,,2018-09-27,●
76,귀욤,I_am_chobo,Gold,4003,81.82%,88,64.88%,7520,GUILE,,2018-10-09,●
77,도미,ImDomi,UltraSilver,3507,52.32%,1355,50.36%,1654,GOUKI,Married-MAN-CLUB,2018-10-08,●
78,망고,Xiller,SuperSilver,3439,51.56%,576,46.53%,821,R.MIKA,,2018-10-07,●
79,옴니버스,0mnibus,SuperSilver,3296,63.80%,163,57.95%,459,KARIN,SPIRITZERO,2018-10-02,●
80,머쓸빠워,notpsycho,SuperSilver,3164,90.16%,61,46.20%,3104,ZANGIEF,,2018-10-09,●
81,,insanity_player,SuperSilver,3026,51.23%,814,46.71%,2203,DICTATOR,LOUNGE,2018-10-09,●
82,노드,Hand_of_Nod,SuperSilver,3005,51.98%,479,41.45%,1549,G,,2018-10-09,●
83,,NaKwang,SuperSilver,3004,48.71%,349,43.91%,4518,ABIGAIL,MalpAnga,2018-10-08,●
84,쿠마,lee30111,Silver,2994,56.36%,330,52.92%,1899,ZANGIEF,Red_Pants,2018-10-08,●
85,엘렌가든,ellengarden,Silver,2991,53.03%,528,44.99%,798,IBUKI,SilverTown,2018-10-09,●
86,햄순,MARUNARAE,Silver,2475,47.42%,757,37.61%,1848,JURI,,2018-10-05,●
87,쿠밤밤,kubambam,Silver,2472,54.96%,282,44.82%,839,KARIN,,2018-08-12,●
88,란테르트,Rantert_choo,Silver,2382,48.93%,797,48.28%,2873,BOXER,LOUNGE,2018-10-09,●
89,골든망고,GOLDENMANGGO,Silver,2109,39.64%,2066,35.77%,2670,BLANKA,,2018-10-09,●
90,오늘은해피,kr_solohappy,Silver,2033,56.00%,225,31.05%,1053,CAMMY,,2018-09-30,●
91,스린이1,ryurisa,UltraBronze,1889,56.57%,198,56.00%,200,KARIN,,2018-10-09,●
92,까망,KKAMANG,UltraBronze,1660,45.74%,1924,44.57%,2578,JURI,JuZZinDan,2018-10-09,●
93,밀피,SQUILLA,UltraBronze,1561,53.76%,452,43.36%,1333,RYU,,2018-10-05,●
94,아하이,AHIIII,UltraBronze,1502,73.91%,46,34.93%,604,CAMMY,,2018-10-09,●
95,반달곰,kimjun,SuperBronze,1388,47.31%,1729,45.11%,3006,GOUKI,,2018-10-09,●
96,,Kanie_SDM,SuperBronze,1176,45.57%,983,42.36%,1400,IBUKI,,2018-09-08,●
97,애미야,Emiyamulzomdao,SuperBronze,1141,36.42%,173,30.10%,937,IBUKI,Girl_character,2018-10-05,●
98,유백,youbaek,SuperBronze,1050,51.19%,84,37.57%,535,CAMMY,,2018-09-30,●
99,발닦고자라,Balttako_Zara,Bronze,901,34.29%,210,36.68%,379,IBUKI,,2018-09-14,●
100,키스,kissmylip,Bronze,823,35.57%,149,37.02%,886,GOUKI,,2018-10-09,●
101,쌍환타,5Highnoon,Bronze,600,45.24%,42,35.85%,53,BIRDIE,Shin_Syoryuken,2018-10-05,●
102,제로텐,Zero_ten,Rookie,372,31.09%,119,32.23%,121,NASH,,2018-10-03,●
103,맥가츄,McKachu,Rookie,120,50.00%,6,50.00%,6,KEN,Shin_Syoryuken,2018-10-05,●
104,스린이,js_sick,Rookie,0,0.00%,7,5.56%,18,BIRDIE,,2018-09-06,●
105,스팀입문자,nanahistory,Rookie,0,0.00%,0,0.00%,3,CAMMY,,2018-10-09,●
106,시아,Feelingit,Rookie,0,0%,0,26%,19,KEN,,2018-10-09,●
107,진준화,0ovwwvo0,Rookie,0,19%,16,19.51%,82,BOXER,,2018-10-07,●
