#,Nickname,Fighter's ID,Rank,LP,W/L,Matches,W/L,Matches,Character,DOJO,Last play,
1,미닛메이드,DelMonteOrange,GrandMaster,83086,67.64%,5967,70.77%,10682,CAMMY,Mental_Hospital,2018-10-15,●
2,장테,kortazang,GrandMaster,72723,71.32%,7541,70.47%,9901,BIRDIE,Red_Pants,2018-10-15,●
3,치킨,IIDX_CHIKEN_PS4,GrandMaster,59524,65.68%,3616,65.10%,3905,MENAT,InSu-Dan,2018-10-15,●
4,암핏,armpitplay,GrandMaster,50367,67.59%,28244,64.75%,41786,GOUKI,Mental_Hospital,2018-10-15,●
5,씨름맨,KR_WrestlingMan,GrandMaster,35273,65.78%,5088,63.16%,10271,R.MIKA,,2018-10-06,●
6,,information,GrandMaster,35243,65.55%,4854,59.22%,18479,DICTATOR,,2018-10-14,●
7,동동,MnR-DongDong2,GrandMaster,35028,63.63%,3885,64.39%,9401,IBUKI,,2018-10-06,●
8,린보찡,rinbo7-pc,Master,30033,63.74%,2016,67.65%,6012,GUILE,SilverTown,2018-10-15,●
9,콩티렉스,kongtrex,Master,30021,64.79%,2025,77.17%,20995,DICTATOR,,2018-10-13,●
10,효원이아빠,HyoWonDaddy,UltraDiamond,27150,47.87%,8721,49.94%,19720,GUILE,HyoWon,2018-10-15,●
11,사복,Sybox85,UltraDiamond,25610,54.00%,2137,61.90%,4785,ZEKU,,2018-10-14,●
12,갑니PR,GubniPR,UltraDiamond,25506,47.94%,7484,49.34%,10759,GOUKI,TeamDPS,2018-10-13,●
13,우주괴수,ContaNaVi,UltraDiamond,25450,61.26%,1172,64.73%,2580,JURI,,2018-10-09,●
14,블루문,Azuremoon,UltraDiamond,25376,66.67%,747,67.84%,1387,CHUN-LI,,2018-10-08,●
15,사모예드,Samoyed,UltraDiamond,25364,62.58%,1069,65.68%,20662,CLAW,Only_Claw,2018-10-15,●
16,다크화니,darkHwany,UltraDiamond,25225,45.76%,14992,45.83%,16411,RYU,Ryu-Nation,2018-10-15,●
17,캣메이어,CatMayor,UltraDiamond,25033,48.47%,10093,49.98%,11396,JURI,,2018-10-15,●
18,라크노스,Raknos,SuperDiamond,21462,57.61%,795,53.06%,10188,R.MIKA,Raknos-Inn,2018-10-15,●
19,쏭두,SSONGDOO_TV,SuperDiamond,21041,47.15%,2477,50.87%,3560,RYU,Shin_Syoryuken,2018-10-15,●
20,레드플라워,REDFLOWER,SuperDiamond,20352,44.38%,19566,44.28%,20808,KARIN,,2018-10-16,●
21,여우비,FoxRain-Pc,SuperDiamond,20138,49.82%,1977,53.96%,3273,JURI,,2018-09-18,●
22,윤비게일,Scutum,SuperDiamond,20090,45.54%,2903,43.16%,14510,ABIGAIL,,2018-09-12,●
23,4달라,FourDollar,SuperDiamond,20083,55.78%,1047,59.53%,2387,SAGAT,GOMSTOWN,2018-10-15,●
24,아태,ATAEDIE,SuperDiamond,20033,52.44%,2151,49.08%,12761,BLANKA,Raknos-Inn,2018-10-15,●
25,킥밤,KickBomb,SuperDiamond,20028,50.38%,2086,47.92%,3940,CHUN-LI,SilverTown,2018-10-15,●
26,자드,KOR_ZARD,Diamond,19921,68.53%,572,74.42%,3280,GUILE,SPIRITZERO,2018-10-14,●
27,히즈미,esw310,Diamond,19330,46.75%,5974,47.81%,8849,URIEN,Braveman,2018-10-15,●
28,알마,almaloss,Diamond,19123,52.93%,2322,47.11%,7820,G,Raknos-Inn,2018-10-15,●
29,빨간탈포스,Rmaskforce_PS4,Diamond,18859,51.98%,1897,52.22%,2338,RASHID,MalpAnga,2018-10-14,●
30,루팡,SalaryLupin,Diamond,17945,45.63%,4425,45.74%,6968,LAURA,NOKZODAN,2018-10-16,●
31,욘두,YunduUdonta,Diamond,17598,52.39%,2802,52.50%,3545,URIEN,Braveman,2018-10-15,●
32,카톡,KaKaoTalk,Diamond,16905,53.30%,1743,56.06%,3416,CLAW,Only_Claw,2018-10-15,●
33,잎,Cittadi,Diamond,16000,52.77%,1533,44.19%,6388,DICTATOR,,2018-10-15,●
34,쓰랄,Thrall_77,Diamond,15515,45.16%,26909,44.25%,29442,NASH,Shin_Syoryuken,2018-10-15,●
35,압도,Dominant_PS4,Diamond,15044,65.28%,625,61.46%,3207,SAGAT,Braveman,2018-10-13,●
36,에드랑꼬,JaebumPark,Diamond,14083,64.67%,600,48.18%,3001,ED,Psycho-Snatcher,2018-10-15,●
37,티버레이크,Tiberlake,Diamond,14075,46.62%,2711,49.76%,8434,BOXER,Sakura,2018-10-13,●
38,민님,extremin,Diamond,14060,50.56%,10559,52.94%,21689,CAMMY,,2018-10-15,●
39,벨거,Baninrok,Diamond,14039,55.88%,1378,51.00%,3239,CODY,-Metro_City-,2018-10-15,●
