#,Nickname,Fighter's ID,Rank,LP,W/L,Matches,W/L,Matches,Character,DOJO,Last play,
95,아하이,AHIIII,UltraBronze,1502,73.91%,46,35.66%,617,CAMMY,,2018-10-09,●
96,반달곰,kimjun,SuperBronze,1488,47.45%,1745,44.96%,3054,GOUKI,,2018-10-11,●
97,,Kanie_SDM,SuperBronze,1176,45.57%,983,42.36%,1400,IBUKI,,2018-09-08,●
98,애미야,Emiyamulzomdao,SuperBronze,1141,36.42%,173,30.10%,937,IBUKI,Girl_character,2018-10-11,●
99,유백,youbaek,SuperBronze,1050,51.19%,84,37.57%,535,CAMMY,,2018-09-30,●
100,발닦고자라,Balttako_Zara,Bronze,901,34.29%,210,36.68%,379,IBUKI,,2018-09-14,●
101,키스,kissmylip,Bronze,623,33.75%,160,36.11%,925,GOUKI,,2018-10-11,●
102,쌍환타,5Highnoon,Bronze,600,45.24%,42,35.85%,53,BIRDIE,Shin_Syoryuken,2018-10-05,●
103,제로텐,Zero_ten,Rookie,372,31.09%,119,32.23%,121,NASH,,2018-10-03,●
104,맥가츄,McKachu,Rookie,120,50.00%,6,50.00%,6,KEN,Shin_Syoryuken,2018-10-05,●
105,스린이,js_sick,Rookie,0,0.00%,7,5.56%,18,BIRDIE,,2018-09-06,●
106,스팀입문자,nanahistory,Rookie,0,0%,0,0%,3,CAMMY,,2018-10-11,●
107,시아,Feelingit,Rookie,0,0%,0,26.32%,19,KEN,,2018-10-09,●
108,KJ록키,gghnnh67,Rookie,0,0.00%,0,0.00%,3,RYU,,2018-10-11,●
