#,Nickname,Fighter's ID,Rank,LP,W/L,Matches,W/L,Matches,Character,DOJO,Last play,
1,미닛메이드,DelMonteOrange,GrandMaster,77512,67.14%,5730,70.50%,10371,CAMMY,Mental_Hospital,2018-10-11,●
2,장테,kortazang,GrandMaster,69403,71.10%,7284,70.34%,9600,BIRDIE,Red_Pants,2018-10-11,●
3,치킨,IIDX_CHIKEN_PS4,GrandMaster,58158,65.50%,3568,64.93%,3852,MENAT,InSu-Dan,2018-10-11,●
4,오블맘,oblmom,GrandMaster,51536,69.97%,5161,70.60%,6728,GUILE,ssonicboom,2018-10-06,●
5,암핏,armpitplay,GrandMaster,50374,67.59%,28225,64.75%,41767,GOUKI,Mental_Hospital,2018-10-11,●
6,씨름맨,KR_WrestlingMan,GrandMaster,35273,65.78%,5088,63.16%,10271,R.MIKA,,2018-10-06,●
7,,information,GrandMaster,35243,65.55%,4854,59.22%,18474,DICTATOR,,2018-10-10,●
8,동동,MnR-DongDong2,GrandMaster,35028,63.63%,3885,64.39%,9401,IBUKI,,2018-10-06,●
9,린보찡,rinbo7-pc,Master,30033,63.74%,2016,67.53%,5953,GUILE,,2018-10-11,●
10,사복,Sybox85,UltraDiamond,25529,53.94%,2132,61.54%,4701,BOXER,,2018-10-11,●
11,우주괴수,ContaNaVi,UltraDiamond,25450,61.26%,1172,64.73%,2580,JURI,,2018-10-09,●
12,빈방,emptyroom,UltraDiamond,25434,59.53%,1327,56.74%,1787,G,GOD_NL,2018-10-11,●
13,블루문,Azuremoon,UltraDiamond,25376,66.67%,747,67.84%,1387,CHUN-LI,,2018-10-08,●
14,사모예드,Samoyed,UltraDiamond,25364,62.58%,1069,65.67%,20580,CLAW,Only_Claw,2018-10-11,●
15,지옥불반도,JIOKBULBANDO_PS4,UltraDiamond,25034,52.38%,4441,52.33%,4743,BIRDIE,E-BODY,2018-10-11,●
16,캣메이어,CatMayor,SuperDiamond,24681,48.38%,9981,49.92%,11284,JURI,,2018-10-11,●
17,다크화니,darkHwany,SuperDiamond,24560,45.74%,14958,45.81%,16377,RYU,Ryu-Nation,2018-10-08,●
18,라크노스,Raknos,SuperDiamond,21462,57.61%,795,53.13%,10041,R.MIKA,Raknos-Inn,2018-10-10,●
19,레드플라워,REDFLOWER,SuperDiamond,21448,44.41%,19501,44.31%,20743,KARIN,,2018-10-11,●
20,쏭두,SSONGDOO_TV,SuperDiamond,20153,47.15%,2365,51.03%,3402,RYU,Shin_Syoryuken,2018-10-11,●
21,여우비,FoxRain-Pc,SuperDiamond,20138,49.82%,1977,53.96%,3273,JURI,,2018-09-18,●
22,윤비게일,Scutum,SuperDiamond,20090,45.54%,2903,43.16%,14510,ABIGAIL,,2018-09-12,●
23,4달라,FourDollar,SuperDiamond,20083,55.78%,1047,59.48%,2379,SAGAT,GOMSTOWN,2018-10-11,●
24,아태,ATAEDIE,SuperDiamond,20033,52.44%,2151,49.26%,12618,BLANKA,Raknos-Inn,2018-10-11,●
25,킥밤,KickBomb,SuperDiamond,20028,50.38%,2086,47.92%,3923,CHUN-LI,SilverTown,2018-09-28,●
26,자드,KOR_ZARD,Diamond,19921,68.53%,572,74.43%,3265,GUILE,SPIRITZERO,2018-10-11,●
27,알마,almaloss,Diamond,19123,52.93%,2322,47.10%,7794,G,Raknos-Inn,2018-10-04,●
28,빨간탈포스,Rmaskforce_PS4,Diamond,18950,52.10%,1881,52.39%,2281,ZANGIEF,MalpAnga,2018-10-11,●
29,히즈미,esw310,Diamond,17871,46.91%,5869,47.90%,8720,URIEN,Braveman,2018-10-11,●
30,카톡,KaKaoTalk,Diamond,16905,53.30%,1743,56.03%,3302,CLAW,Only_Claw,2018-10-09,●
31,루팡,SalaryLupin,Diamond,16655,46.16%,4118,46.13%,6649,LAURA,NOKZODAN,2018-10-11,●
32,쓰랄,Thrall_77,Diamond,16171,45.20%,26859,44.28%,29392,NASH,Shin_Syoryuken,2018-10-09,●
33,잎,Cittadi,Diamond,15888,52.83%,1520,44.06%,6310,DICTATOR,,2018-10-10,●
34,압도,Dominant_PS4,Diamond,15044,65.28%,625,61.61%,3173,SAGAT,Braveman,2018-10-11,●
35,,YunduUdonta,Diamond,14877,53.04%,2602,52.65%,3240,URIEN,Braveman,2018-10-11,●
36,에드랑꼬,JaebumPark,Diamond,14083,64.67%,600,48.18%,2993,ED,Psycho-Snatcher,2018-10-06,●
37,티버레이크,Tiberlake,Diamond,14075,46.62%,2711,49.76%,8431,BOXER,Sakura,2018-10-11,●
38,민님,extremin,Diamond,14060,50.56%,10559,52.85%,21587,CAMMY,,2018-10-11,●
39,벨거,Baninrok,Diamond,14039,55.88%,1378,50.96%,3189,CODY,-Metro_City-,2018-10-11,●
40,코두리,DBsang-steam,UltraPlatinum,13897,52.85%,2212,42.42%,4734,FALKE,,2018-09-27,●
41,,GuardJung,UltraPlatinum,13322,48.83%,6008,44.65%,8135,NASH,Mental_Hospital,2018-10-02,●
42,마사,isamix,SuperPlatinum,11490,53.69%,1883,56.33%,2922,SAKURA,Sakura,2018-10-09,●
43,,kor_bbom,SuperPlatinum,11165,49.06%,7847,48.12%,18430,RYU,Ryu-Nation,2018-10-11,●
44,행인,Hang-In,SuperPlatinum,10714,40.33%,20448,40.72%,21506,RYU,,2018-10-11,●
45,젤리샵,JellyShoP,SuperPlatinum,10352,49.74%,2272,39.38%,8356,CAMMY,,2018-10-10,●
46,진수가,artheaven,SuperPlatinum,10251,52.40%,7185,52.02%,9177,KEN,TeamDPS,2018-10-11,●
47,악철,akchul,SuperPlatinum,10035,53.18%,1463,52.71%,1848,URIEN,Braveman,2018-10-07,●
48,테시스,Tecith,SuperPlatinum,10027,50.52%,2973,44.49%,5404,CAMMY,,2018-10-11,●
49,,Panzerdivision,SuperPlatinum,10007,56.48%,733,49.90%,9560,BIRDIE,Haki-Kyaku,2018-10-03,●
50,,EXTRAUSER,Platinum,9739,53.43%,1501,33.44%,5816,KEN,,2018-10-11,●
51,후비고,hubigo,Platinum,9404,54.91%,1293,51.29%,2484,GUILE,,2018-09-23,●
52,큐폿,q-port,Platinum,9217,53.59%,1491,50.51%,2847,NECALLI,,2018-09-27,●
53,고양이파,llllllll,Platinum,8711,48.22%,2246,48.34%,4961,CHUN-LI,Rindo-kan_Karate,2018-10-10,●
54,,3World,Platinum,8320,52.86%,1065,56.72%,1675,CHUN-LI,,2018-10-06,●
55,머쓸빠워,notpsycho,Platinum,7829,70.11%,281,47.80%,3460,ZANGIEF,,2018-10-11,●
56,사쿨,Sakul_Sakul,Platinum,7592,49.24%,2500,45.64%,7606,CAMMY,GOD_NL,2018-10-09,●
57,시테,LastOfAkiha,Platinum,7551,53.11%,996,50.09%,3737,KARIN,aomaDOJO,2018-10-11,●
58,윤권,yunkwon,UltraGold,7277,51.86%,1880,39.98%,10158,KEN,Mental_Hospital,2018-10-07,●
59,신형준,kimboram,UltraGold,6817,58.50%,506,60.53%,869,GUILE,,2018-09-19,●
60,알트키,ALT_KEY,UltraGold,6779,53.69%,868,45.83%,6276,RYU,GOD_NL,2018-10-11,●
61,제쿠,John-Wick,UltraGold,6552,49.30%,4491,48.71%,4917,ZEKU,,2018-10-11,●
62,아침,Hanna_KR,UltraGold,6551,50.34%,3129,45.40%,3839,RYU,Shin_Syoryuken,2018-10-10,●
63,헐랭이손,dhschenk,SuperGold,6455,49.92%,3550,50.17%,6073,RYU,Shin_Syoryuken,2018-10-09,●
64,뉴비식스,Animal6,SuperGold,5960,74.14%,174,38.02%,15109,CHUN-LI,LOUNGE,2018-10-11,●
65,기파랑,sfktj-karin,SuperGold,5959,51.24%,964,51.12%,3224,KEN,,2018-09-01,●
66,나락가마,son01420309,SuperGold,5828,63.16%,285,53.68%,557,DHALSIM,,2018-10-07,●
67,하야센,hayasen,SuperGold,5657,51.61%,1893,45.07%,12568,RYU,Ryu-Nation,2018-10-11,●
68,신스퀘어,Sinsquare,SuperGold,5536,48.94%,5691,46.24%,7612,ALEX,French-fries,2018-10-11,●
69,우키조아,Justice84,Gold,5290,59.54%,393,58.42%,457,GOUKI,,2018-10-10,●
70,불곰,NopeinNogein,Gold,5273,52.66%,1164,39.33%,2413,GOUKI,Shin_Syoryuken,2018-10-11,●
71,앜하밭하,akavata,Gold,4628,49.43%,7028,42.08%,10199,LAURA,SPIRITZERO,2018-10-11,●
72,갓주홍,GODJUHONG,Gold,4219,51.34%,2536,43.86%,4273,RYU,,2018-10-11,●
73,오렌지페코,pekoshin,Gold,4099,51.39%,1438,49.01%,5036,GUILE,PekoshinDojjo,2018-10-11,●
74,록맨,RockmanHH,Gold,4060,51.13%,2163,46.29%,5103,KARIN,,2018-10-04,●
75,,thealto,Gold,4056,49.95%,3858,46.49%,4721,CODY,windog,2018-10-11,●
76,마그마,MagmaAxis,Gold,4018,50.15%,325,32.82%,2011,GUILE,,2018-09-27,●
77,귀욤,I_am_chobo,Gold,4003,81.82%,88,64.88%,7520,GUILE,,2018-10-09,●
78,망고,Xiller,SuperSilver,3439,51.56%,576,46.53%,821,R.MIKA,,2018-10-07,●
79,옴니버스,0mnibus,SuperSilver,3296,63.80%,163,57.95%,459,KARIN,SPIRITZERO,2018-10-11,●
80,도미,ImDomi,SuperSilver,3100,52.11%,1401,49.62%,1731,GOUKI,Married-MAN-CLUB,2018-10-11,●
81,엘렌가든,ellengarden,SuperSilver,3030,52.81%,551,45.07%,821,IBUKI,SilverTown,2018-10-10,●
82,,insanity_player,SuperSilver,3026,51.23%,814,46.84%,2233,DICTATOR,LOUNGE,2018-10-11,●
83,노드,Hand_of_Nod,SuperSilver,3005,51.98%,479,41.45%,1549,G,,2018-10-10,●
84,,NaKwang,SuperSilver,3004,48.71%,349,43.92%,4595,ABIGAIL,MalpAnga,2018-10-11,●
85,쿠마,lee30111,Silver,2994,56.36%,330,53.43%,1941,ZANGIEF,Red_Pants,2018-10-11,●
86,에레스비,LSBSBLSB,Silver,2987,52.54%,786,48.73%,948,LAURA,Mental_Hospital,2018-10-11,●
87,골든망고,GOLDENMANGGO,Silver,2823,39.97%,2089,35.99%,2701,BLANKA,,2018-10-11,●
88,햄순,MARUNARAE,Silver,2475,47.42%,757,37.61%,1848,JURI,,2018-10-10,●
89,쿠밤밤,kubambam,Silver,2472,54.96%,282,44.82%,839,KARIN,,2018-08-12,●
90,란테르트,Rantert_choo,Silver,2382,48.93%,797,48.22%,2893,BOXER,LOUNGE,2018-10-09,●
91,스린이1,ryurisa,Silver,2170,55.65%,248,55.20%,250,KARIN,,2018-10-11,●
92,까망,KKAMANG,Silver,2047,45.95%,1963,44.75%,2617,JURI,JuZZinDan,2018-10-11,●
93,오늘은해피,kr_solohappy,Silver,2033,56.00%,225,31.05%,1053,CAMMY,,2018-09-30,●
94,밀피,SQUILLA,UltraBronze,1561,53.76%,452,43.36%,1333,RYU,,2018-10-05,●
