#,Nickname,Fighter's ID,Rank,LP,W/L,Matches,W/L,Matches,Character,DOJO,Last play,
57,사쿨,Sakul_Sakul,Platinum,7592,49.24%,2500,45.64%,7606,CAMMY,GOD_NL,2018-10-09,●
58,시테,LastOfAkiha,Platinum,7551,53.11%,996,50.09%,3737,KARIN,aomaDOJO,2018-10-11,●
59,윤권,yunkwon,UltraGold,7277,51.86%,1880,39.97%,10166,KEN,Mental_Hospital,2018-10-12,●
60,신형준,kimboram,UltraGold,6817,58.50%,506,60.53%,869,GUILE,,2018-09-19,●
61,알트키,ALT_KEY,UltraGold,6779,53.69%,868,45.83%,6276,RYU,GOD_NL,2018-10-11,●
62,아침,Hanna_KR,UltraGold,6551,50.34%,3129,45.40%,3839,RYU,Shin_Syoryuken,2018-10-10,●
63,아하!,Ohhoho,UltraGold,6537,59.31%,467,46.74%,9080,KARIN,ExKunai,2018-10-12,●
64,헐랭이손,dhschenk,SuperGold,6280,49.90%,3553,50.28%,6108,RYU,Shin_Syoryuken,2018-10-12,●
65,제쿠,John-Wick,SuperGold,6102,49.28%,4562,48.70%,4988,ZEKU,,2018-10-12,●
66,뉴비식스,Animal6,SuperGold,5960,74.14%,174,38.10%,15137,CHUN-LI,LOUNGE,2018-10-12,●
67,기파랑,sfktj-karin,SuperGold,5959,51.24%,964,51.12%,3224,KEN,,2018-09-01,●
68,나락가마,son01420309,SuperGold,5828,63.16%,285,53.68%,557,DHALSIM,,2018-10-07,●
69,하야센,hayasen,SuperGold,5657,51.61%,1893,45.08%,12570,RYU,Ryu-Nation,2018-10-12,●
70,신스퀘어,Sinsquare,SuperGold,5536,48.94%,5691,46.15%,7640,ALEX,French-fries,2018-10-12,●
71,우키조아,Justice84,Gold,5290,59.54%,393,58.42%,457,GOUKI,,2018-10-10,●
72,불곰,NopeinNogein,Gold,5273,52.66%,1164,39.33%,2413,GOUKI,Shin_Syoryuken,2018-10-11,●
73,앜하밭하,akavata,Gold,4628,49.43%,7028,42.04%,10222,LAURA,SPIRITZERO,2018-10-12,●
74,갓주홍,GODJUHONG,Gold,4219,51.34%,2536,43.86%,4273,RYU,,2018-10-11,●
75,오렌지페코,pekoshin,Gold,4099,51.39%,1438,49.03%,5042,GUILE,PekoshinDojjo,2018-10-12,●
76,록맨,RockmanHH,Gold,4060,51.13%,2163,46.29%,5103,KARIN,,2018-10-04,●
77,,thealto,Gold,4056,49.95%,3858,46.50%,4727,CODY,windog,2018-10-12,●
78,마그마,MagmaAxis,Gold,4018,50.15%,325,32.82%,2011,GUILE,,2018-09-27,●
79,귀욤,I_am_chobo,Gold,4003,81.82%,88,64.89%,7542,GUILE,,2018-10-12,●
80,망고,Xiller,SuperSilver,3439,51.56%,576,46.53%,821,R.MIKA,,2018-10-07,●
81,옴니버스,0mnibus,SuperSilver,3296,63.80%,163,57.95%,459,KARIN,SPIRITZERO,2018-10-11,●
82,에레스비,LSBSBLSB,SuperSilver,3286,52.56%,841,49.21%,1010,LAURA,Mental_Hospital,2018-10-12,●
83,도미,ImDomi,SuperSilver,3107,52.17%,1405,49.68%,1735,GOUKI,Married-MAN-CLUB,2018-10-12,●
84,엘렌가든,ellengarden,SuperSilver,3054,52.89%,554,44.39%,847,IBUKI,SilverTown,2018-10-12,●
85,,insanity_player,SuperSilver,3026,51.23%,814,46.84%,2233,DICTATOR,LOUNGE,2018-10-11,●
86,노드,Hand_of_Nod,SuperSilver,3005,51.98%,479,41.45%,1549,G,,2018-10-10,●
87,,NaKwang,SuperSilver,3004,48.71%,349,43.92%,4595,ABIGAIL,MalpAnga,2018-10-12,●
88,쿠마,lee30111,Silver,2994,56.36%,330,53.14%,1961,ZANGIEF,Red_Pants,2018-10-12,●
89,골든망고,GOLDENMANGGO,Silver,2823,39.97%,2089,35.94%,2710,NECALLI,,2018-10-12,●
90,햄순,MARUNARAE,Silver,2475,47.42%,757,37.61%,1848,JURI,,2018-10-12,●
91,쿠밤밤,kubambam,Silver,2472,54.96%,282,44.82%,839,KARIN,,2018-08-12,●
92,란테르트,Rantert_choo,Silver,2382,48.93%,797,48.22%,2893,BOXER,LOUNGE,2018-10-09,●
93,스린이1,ryurisa,Silver,2170,55.65%,248,55.20%,250,KARIN,,2018-10-12,●
94,까망,KKAMANG,Silver,2047,45.95%,1963,44.75%,2617,JURI,JuZZinDan,2018-10-11,●
95,오늘은해피,kr_solohappy,Silver,2033,56.00%,225,31.05%,1053,CAMMY,,2018-10-12,●
96,밀피,SQUILLA,UltraBronze,1561,53.76%,452,43.38%,1344,RYU,,2018-10-12,●
97,아하이,AHIIII,UltraBronze,1502,73.91%,46,35.19%,628,CAMMY,,2018-10-12,●
98,반달곰,kimjun,SuperBronze,1488,47.45%,1745,44.96%,3054,GOUKI,,2018-10-11,●
99,,Kanie_SDM,SuperBronze,1176,45.57%,983,42.36%,1400,IBUKI,,2018-09-08,●
100,애미야,Emiyamulzomdao,SuperBronze,1141,36.42%,173,30.10%,937,IBUKI,Girl_character,2018-10-11,●
101,유백,youbaek,SuperBronze,1050,51.19%,84,37.57%,535,CAMMY,,2018-09-30,●
102,발닦고자라,Balttako_Zara,Bronze,901,34.29%,210,36.68%,379,IBUKI,,2018-09-14,●
103,키스,kissmylip,Bronze,623,33.75%,160,36.11%,925,GOUKI,,2018-10-11,●
104,쌍환타,5Highnoon,Bronze,600,45.24%,42,35.85%,53,BIRDIE,Shin_Syoryuken,2018-10-05,●
105,시아,Feelingit,Bronze,563,48.28%,29,39.58%,48,KEN,,2018-10-12,●
106,제로텐,Zero_ten,Rookie,372,31%,119,32%,121,NASH,,2018-10-03,●
107,맥가츄,McKachu,Rookie,120,50%,6,50.00%,6,KEN,Shin_Syoryuken,2018-10-05,●
108,스린이,js_sick,Rookie,0,0.00%,7,5.56%,18,BIRDIE,,2018-09-06,●
109,스팀입문자,nanahistory,Rookie,0,0%,0,0.00%,3,CAMMY,,2018-10-12,●
110,KJ록키,gghnnh67,Rookie,0,0%,0,0.00%,3,RYU,,2018-10-11,●
