#,Nickname,Fighter's ID,Rank,LP,W/L,Matches,W/L,Matches,Character,DOJO,Last play,
1,미닛메이드,DelMonteOrange,GrandMaster,78741,67.25%,5820,70.54%,10461,CAMMY,Mental_Hospital,2018-10-12,●
2,장테,kortazang,GrandMaster,70198,71.15%,7331,70.34%,9665,ZANGIEF,Red_Pants,2018-10-12,●
3,치킨,IIDX_CHIKEN_PS4,GrandMaster,59009,65.59%,3601,65.02%,3885,MENAT,InSu-Dan,2018-10-12,●
4,오블맘,oblmom,GrandMaster,51536,69.97%,5161,70.60%,6728,GUILE,ssonicboom,2018-10-12,●
5,암핏,armpitplay,GrandMaster,50374,67.59%,28225,64.75%,41767,GOUKI,Mental_Hospital,2018-10-11,●
6,씨름맨,KR_WrestlingMan,GrandMaster,35273,65.78%,5088,63.16%,10271,R.MIKA,,2018-10-06,●
7,,information,GrandMaster,35243,65.55%,4854,59.22%,18474,DICTATOR,,2018-10-10,●
8,동동,MnR-DongDong2,GrandMaster,35028,63.63%,3885,64.39%,9401,IBUKI,,2018-10-06,●
9,린보찡,rinbo7-pc,Master,30033,63.74%,2016,67.57%,5967,GUILE,SilverTown,2018-10-12,●
10,효원이아빠,HyoWonDaddy,UltraDiamond,27472,47.82%,8680,49.96%,19575,GUILE,HyoWon,2018-10-08,●
11,지옥불반도,JIOKBULBANDO_PS4,UltraDiamond,25622,52.43%,4490,52.47%,4816,BIRDIE,E-BODY,2018-10-12,●
12,사복,Sybox85,UltraDiamond,25529,53.94%,2132,61.58%,4706,BOXER,,2018-10-12,●
13,우주괴수,ContaNaVi,UltraDiamond,25450,61.26%,1172,64.73%,2580,JURI,,2018-10-09,●
14,블루문,Azuremoon,UltraDiamond,25376,66.67%,747,67.84%,1387,CHUN-LI,,2018-10-08,●
15,사모예드,Samoyed,UltraDiamond,25364,62.58%,1069,65.66%,20604,CLAW,Only_Claw,2018-10-12,●
16,캣메이어,CatMayor,SuperDiamond,24872,48.40%,10014,49.93%,11317,JURI,,2018-10-12,●
17,다크화니,darkHwany,SuperDiamond,24560,45.74%,14958,45.81%,16377,RYU,Ryu-Nation,2018-10-08,●
18,빈방,emptyroom,SuperDiamond,24105,58.47%,1382,56.03%,1842,G,GOD_NL,2018-10-12,●
19,라크노스,Raknos,SuperDiamond,21462,57.61%,795,53.10%,10068,R.MIKA,Raknos-Inn,2018-10-12,●
20,레드플라워,REDFLOWER,SuperDiamond,21448,44.41%,19501,44.31%,20743,KARIN,,2018-10-11,●
21,여우비,FoxRain-Pc,SuperDiamond,20138,49.82%,1977,53.96%,3273,JURI,,2018-09-18,●
22,쏭두,SSONGDOO_TV,SuperDiamond,20133,47.03%,2411,50.81%,3466,RYU,Shin_Syoryuken,2018-10-12,●
23,윤비게일,Scutum,SuperDiamond,20090,45.54%,2903,43.16%,14510,ABIGAIL,,2018-09-12,●
24,4달라,FourDollar,SuperDiamond,20083,55.78%,1047,59.48%,2379,SAGAT,GOMSTOWN,2018-10-12,●
25,아태,ATAEDIE,SuperDiamond,20033,52.44%,2151,49.22%,12667,BLANKA,Raknos-Inn,2018-10-12,●
26,킥밤,KickBomb,SuperDiamond,20028,50.38%,2086,47.92%,3923,CHUN-LI,SilverTown,2018-09-28,●
27,자드,KOR_ZARD,Diamond,19921,68.53%,572,74.42%,3276,GUILE,SPIRITZERO,2018-10-12,●
28,알마,almaloss,Diamond,19123,52.93%,2322,47.10%,7794,G,Raknos-Inn,2018-10-04,●
29,빨간탈포스,Rmaskforce_PS4,Diamond,18859,51.98%,1897,52.29%,2297,ZANGIEF,MalpAnga,2018-10-12,●
30,루팡,SalaryLupin,Diamond,17754,46.22%,4154,46.16%,6685,LAURA,NOKZODAN,2018-10-12,●
31,히즈미,esw310,Diamond,17717,46.79%,5911,47.82%,8762,URIEN,Braveman,2018-10-12,●
32,카톡,KaKaoTalk,Diamond,16905,53.30%,1743,55.92%,3335,CLAW,Only_Claw,2018-10-12,●
33,쓰랄,Thrall_77,Diamond,16171,45.20%,26859,44.28%,29392,NASH,Shin_Syoryuken,2018-10-09,●
34,잎,Cittadi,Diamond,15888,52.83%,1520,44.06%,6310,DICTATOR,,2018-10-10,●
35,압도,Dominant_PS4,Diamond,15044,65.28%,625,61.52%,3186,SAGAT,Braveman,2018-10-12,●
36,,YunduUdonta,Diamond,14877,53.04%,2602,52.65%,3240,URIEN,Braveman,2018-10-11,●
37,에드랑꼬,JaebumPark,Diamond,14083,64.67%,600,48.18%,2993,ED,Psycho-Snatcher,2018-10-06,●
38,티버레이크,Tiberlake,Diamond,14075,46.62%,2711,49.76%,8431,BOXER,Sakura,2018-10-11,●
39,민님,extremin,Diamond,14060,50.56%,10559,52.92%,21645,CAMMY,,2018-10-12,●
40,벨거,Baninrok,Diamond,14039,55.88%,1378,50.96%,3189,CODY,-Metro_City-,2018-10-11,●
41,코두리,DBsang-steam,UltraPlatinum,13897,52.85%,2212,42.42%,4734,FALKE,,2018-09-27,●
42,,GuardJung,UltraPlatinum,13322,48.83%,6008,44.65%,8135,NASH,Mental_Hospital,2018-10-02,●
43,마사,isamix,UltraPlatinum,12327,53.99%,1906,56.36%,2970,KEN,Sakura,2018-10-12,●
44,,kor_bbom,SuperPlatinum,11470,49.08%,7865,48.12%,18448,RYU,Ryu-Nation,2018-10-12,●
45,행인,Hang-In,SuperPlatinum,10714,40.33%,20448,40.72%,21506,RYU,,2018-10-11,●
46,젤리샵,JellyShoP,SuperPlatinum,10352,49.74%,2272,39.38%,8356,CAMMY,,2018-10-10,●
47,진수가,artheaven,SuperPlatinum,10251,52.40%,7185,52.02%,9177,KEN,TeamDPS,2018-10-11,●
48,악철,akchul,SuperPlatinum,10035,53.18%,1463,52.71%,1848,URIEN,Braveman,2018-10-07,●
49,테시스,Tecith,SuperPlatinum,10027,50.52%,2973,44.49%,5404,CAMMY,,2018-10-11,●
50,,Panzerdivision,SuperPlatinum,10007,56.48%,733,49.90%,9560,BIRDIE,Haki-Kyaku,2018-10-03,●
51,,EXTRAUSER,Platinum,9932,53.33%,1545,33.57%,5860,GOUKI,,2018-10-12,●
52,후비고,hubigo,Platinum,9404,54.91%,1293,51.29%,2484,GUILE,,2018-09-23,●
53,큐폿,q-port,Platinum,9217,53.59%,1491,50.51%,2847,NECALLI,,2018-09-27,●
54,고양이파,llllllll,Platinum,8838,48.23%,2254,48.32%,4971,CHUN-LI,Rindo-kan_Karate,2018-10-12,●
55,,3World,Platinum,8320,52.86%,1065,56.72%,1675,CHUN-LI,,2018-10-06,●
56,머쓸빠워,notpsycho,Platinum,8258,68.87%,302,47.78%,3489,ZANGIEF,,2018-10-12,●
