20,여우비,FoxRain-Pc,"<font color=""#00CED1"">SuperDiamond</font>",20138,"<font color=""#000000"">49.82%</font>",1977,"<font color=""#000000"">53.96%</font>",3273,JURI,"<font color=""#CC9933""></font>","<font color=""#FF0000"">2018-09-18</font>",●
21,윤비게일,Scutum,"<font color=""#00CED1"">SuperDiamond</font>",20090,"<font color=""#000000"">45.54%</font>",2903,"<font color=""#000000"">43.16%</font>",14510,ABIGAIL,"<font color=""#CC9933""></font>","<font color=""#FF0000"">2018-09-12</font>",●
22,4달라,FourDollar,"<font color=""#00CED1"">SuperDiamond</font>",20083,"<font color=""#000000"">55.78%</font>",1047,"<font color=""#000000"">59.29%</font>",2417,SAGAT,"<font color=""#CC9933"">GOMSTOWN</font>","<font color=""#000000"">2018-10-16</font>","<font color=""#3399FF"">●</font>"
23,아태,ATAEDIE,"<font color=""#00CED1"">SuperDiamond</font>",20033,"<font color=""#000000"">52.44%</font>",2151,"<font color=""#000000"">49.02%</font>",12776,BLANKA,"<font color=""#CC9933"">Raknos-Inn</font>","<font color=""#000000"">2018-10-16</font>",●
24,킥밤,KickBomb,"<font color=""#00CED1"">SuperDiamond</font>",20028,"<font color=""#000000"">50.38%</font>",2086,"<font color=""#000000"">47.92%</font>",3940,CHUN-LI,"<font color=""#CC9933"">SilverTown</font>","<font color=""#000000"">2018-10-15</font>",●
25,히즈미,esw310,"<font color=""#00CED1"">Diamond</font>",19820,"<font color=""#000000"">46.72%</font>",6012,"<font color=""#000000"">47.79%</font>",8887,URIEN,"<font color=""#CC9933"">Braveman</font>","<font color=""#000000"">2018-10-16</font>",●
26,자드,KOR_ZARD,"<font color=""#00CED1"">Diamond</font>",19801,"<font color=""#0000FF"">67.76%</font>",580,"<font color=""#CC2EFA"">74.27%</font>",3288,R.MIKA,"<font color=""#CC9933"">SPIRITZERO</font>","<font color=""#000000"">2018-10-16</font>",●
27,레드플라워,REDFLOWER,"<font color=""#00CED1"">Diamond</font>",19604,"<font color=""#000000"">44.36%</font>",19585,"<font color=""#000000"">44.26%</font>",20831,KARIN,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-17</font>",●
28,알마,almaloss,"<font color=""#00CED1"">Diamond</font>",19123,"<font color=""#000000"">52.93%</font>",2322,"<font color=""#000000"">47.11%</font>",7820,G,"<font color=""#CC9933"">Raknos-Inn</font>","<font color=""#000000"">2018-10-15</font>","<font color=""#3399FF"">●</font>"
29,빨간탈포스,Rmaskforce_PS4,"<font color=""#00CED1"">Diamond</font>",18859,"<font color=""#000000"">51.98%</font>",1897,"<font color=""#000000"">52.22%</font>",2338,RASHID,"<font color=""#CC9933"">MalpAnga</font>","<font color=""#000000"">2018-10-14</font>","<font color=""#3399FF"">●</font>"
30,루팡,SalaryLupin,"<font color=""#00CED1"">Diamond</font>",17945,"<font color=""#000000"">45.63%</font>",4425,"<font color=""#000000"">45.74%</font>",6968,LAURA,"<font color=""#CC9933"">NOKZODAN</font>","<font color=""#000000"">2018-10-16</font>","<font color=""#3399FF"">●</font>"
31,욘두,YunduUdonta,"<font color=""#00CED1"">Diamond</font>",17937,"<font color=""#000000"">52.12%</font>",2855,"<font color=""#000000"">52.25%</font>",3627,URIEN,"<font color=""#CC9933"">Braveman</font>","<font color=""#000000"">2018-10-17</font>",●
32,카톡,KaKaoTalk,"<font color=""#00CED1"">Diamond</font>",16905,"<font color=""#000000"">53.30%</font>",1743,"<font color=""#000000"">56.06%</font>",3416,CLAW,"<font color=""#CC9933"">Only_Claw</font>","<font color=""#000000"">2018-10-15</font>",●
