#,Nickname,Fighter's ID,Rank,LP,W/L,Matches,W/L,Matches,Character,DOJO,Last play,
53,,Panzerdivision,SuperPlatinum,10007,56.48%,733,49.90%,9560,BIRDIE,Haki-Kyaku,2018-10-03,●
54,후비고,hubigo,Platinum,9404,54.91%,1293,51.29%,2484,GUILE,,2018-09-23,●
55,큐폿,q-port,Platinum,9217,53.59%,1491,50.51%,2847,NECALLI,,2018-09-27,●
56,,EXTRAUSER,Platinum,8994,53.44%,1426,33.44%,5681,KEN,,2018-10-06,●
57,고양이파,llllllll,Platinum,8562,48.26%,2215,48.35%,4918,CHUN-LI,Rindo-kan_Karate,2018-10-06,●
58,,3World,Platinum,8320,52.86%,1065,56.72%,1675,CHUN-LI,,2018-10-06,●
59,사쿨,Sakul_Sakul,Platinum,7592,49.24%,2500,45.47%,7515,CAMMY,GOD_NL,2018-10-05,●
60,윤권,yunkwon,UltraGold,7213,51.84%,1877,39.98%,10127,KEN,Mental_Hospital,2018-10-06,●
61,MC쿠마,MCjintai_go,UltraGold,7132,56.89%,682,63.11%,3364,ABIGAIL,SPIRITZERO,2018-10-06,●
62,시테,LastOfAkiha,UltraGold,6974,53.05%,933,49.79%,3563,KARIN,aomaDOJO,2018-10-05,●
63,신형준,kimboram,UltraGold,6817,58.50%,506,60.53%,869,GUILE,,2018-09-19,●
64,알트키,ALT_KEY,UltraGold,6779,53.69%,868,46.00%,6195,CAMMY,,2018-10-06,●
65,제쿠,John-Wick,UltraGold,6505,49.29%,4443,48.70%,4869,ZEKU,,2018-10-06,●
66,뉴비식스,Animal6,SuperGold,5960,74.14%,174,38.08%,14909,CHUN-LI,LOUNGE,2018-10-06,●
67,기파랑,sfktj-karin,SuperGold,5959,51.24%,964,51.12%,3224,KEN,,2018-09-01,●
68,나락가마,son01420309,SuperGold,5828,63.16%,285,54.60%,522,DHALSIM,,2018-09-24,●
69,아침,Hanna_KR,SuperGold,5789,50.16%,3052,45.30%,3735,RYU,Shin_Syoryuken,2018-10-06,●
70,하야센,hayasen,SuperGold,5657,51.61%,1893,45.02%,12468,RYU,Ryu-Nation,2018-10-06,●
71,우키조아,Justice84,SuperGold,5504,61.70%,342,59.45%,397,DICTATOR,,2018-10-05,●
72,헐랭이손,dhschenk,Gold,5492,49.69%,3506,49.77%,5958,RYU,Shin_Syoryuken,2018-10-05,●
73,불곰,NopeinNogein,Gold,5273,52.66%,1164,39.37%,2398,GOUKI,Shin_Syoryuken,2018-10-04,●
74,신스퀘어,Sinsquare,Gold,4812,48.84%,5606,46.15%,7491,ALEX,French-fries,2018-10-06,●
75,앜하밭하,akavata,Gold,4536,49.50%,6748,41.95%,9845,LAURA,SPIRITZERO,2018-10-05,●
76,갓주홍,GODJUHONG,Gold,4219,51.34%,2536,44.04%,4201,RYU,,2018-10-04,●
77,오렌지페코,pekoshin,Gold,4197,51.44%,1423,48.95%,4976,GUILE,PekoshinDojjo,2018-10-05,●
78,록맨,RockmanHH,Gold,4060,51.13%,2163,46.29%,5103,KARIN,,2018-10-04,●
79,이글맨,SF5_A6,Gold,4027,52.06%,851,31.43%,3322,RASHID,Mental_Hospital,2018-09-25,●
80,마그마,MagmaAxis,Gold,4018,50.15%,325,32.82%,2011,GUILE,,2018-09-27,●
81,귀욤,I_am_chobo,Gold,4003,81.82%,88,65.07%,7449,GUILE,,2018-10-06,●
82,,thealto,UltraSilver,3544,49.86%,3827,47.37%,4376,CODY,windog,2018-10-06,●
83,망고,Xiller,SuperSilver,3339,51.20%,541,46.35%,781,R.MIKA,,2018-10-06,●
84,옴니버스,0mnibus,SuperSilver,3296,63.80%,163,57.95%,459,KARIN,SPIRITZERO,2018-10-02,●
85,엘렌가든,ellengarden,SuperSilver,3115,53.18%,,44.99%,789,IBUKI,SilverTown,2018-10-06,●
86,,NaKwang,SuperSilver,3004,48.71%,349,43.81%,4494,ABIGAIL,MalpAnga,2018-10-05,●
87,쿠마,lee30111,Silver,2994,56.36%,330,53.00%,1881,ZANGIEF,Red_Pants,2018-10-06,●
88,란테르트,Rantert_choo,Silver,2512,49.06%,795,48.57%,2806,BOXER,LOUNGE,2018-10-06,●
89,햄순,MARUNARAE,Silver,2475,47.42%,757,37.61%,1848,JURI,,2018-10-05,●
90,쿠밤밤,kubambam,Silver,2472,54.96%,282,44.82%,839,KARIN,,2018-08-12,●
91,부랑카,lovlotus,Silver,2109,39.64%,2066,36.07%,2617,BLANKA,,2018-10-05,●
92,,insanity_player,Silver,2067,50.40%,756,45.89%,2092,DICTATOR,LOUNGE,2018-10-05,●
93,까망,KKAMANG,Silver,2040,45.71%,1842,44.51%,2496,JURI,JuZZinDan,2018-10-06,●
94,오늘은해피,kr_solohappy,Silver,2033,56.00%,225,31.05%,1053,CAMMY,,2018-09-30,●
95,반달곰,kimjun,UltraBronze,1989,47.28%,1671,45.25%,2908,RYU,,2018-10-06,●
96,스린이1,ryurisa,UltraBronze,1892,58.90%,146,58.11%,148,KARIN,,2018-10-06,●
97,밀피,SQUILLA,UltraBronze,1561,53.76%,452,43.36%,1333,RYU,,2018-10-05,●
98,아하이,AHIIII,UltraBronze,1502,73.91%,46,33.58%,536,CAMMY,,2018-10-05,●
99,캐미,limleedo,SuperBronze,1389,46.77%,402,44.37%,435,CAMMY,,2018-10-06,●
