Macaroon,UltraSilver,3767,47.33%,GUILE,2018-08-11
sumaranPC,SuperGold,3393,52.09%,RYU,2018-08-11
ChocobreaD,SuperGold,3393,70.97%,ZEKU,2018-08-10
0mnibus,Silver,2911,66.39%,KARIN,2018-08-10
MARUNARAE,Silver,2862,47.86%,KARIN,2018-08-11
jinbi3536,Silver,2216,49.28%,SAGAT,2018-08-07
Hand_of_Nod,Silver,2895,51.78%,URIEN,2018-08-12
DOOSOONI,Silver,2368,52.34%,CAMMY,2018-08-08
whim_pc,SuperGold,3046,52.04%,GOUKI,2018-08-10
TheDeepOne,Silver,2017,45.24%,VEGA,2018-08-11
kimjun,Silver,2052,46.82%,RYU,2018-08-12
Rantert_choo,Silver,2646,48.82%,R.MIKA,2018-08-12
KKAMANG,Silver,2045,44.97%,JURI,2018-08-12
insanity_player,Silver,2835,51.73%,ZANGIEF,2018-08-12
DaPenDa,UltraBronze,1685,45.73%,GOUKI,2018-07-28
yangyan79,UltraBronze,1608,67.50%,RYU,2018-08-08
kr_fightingman,UltraBronze,1555,56.78%,CAMMY,2018-08-12
akavata,SuperBronze,1440,49.53%,G,2018-08-12
jayboomzz,SuperBronze,1084,40.46%,KEN,2018-07-19
ACE_JY,SuperBronze,1245,47.35%,SAGAT,2018-08-11
lee30111,Silver,2032,58.64%,ZANGIEF,2018-08-12
CaptainUrien,SuperBronze,1315,58.21%,URIEN,2018-08-11
ellengarden,Bronze,916,55.07%,IBUKI,2018-08-12
shubinstar808,Bronze,817,31.90%,CAMMY,2018-08-11
Balttako_Zara,Bronze,969,33.69%,IBUKI,2018-08-11
Bogollll,Rookie,66,22.47%,CHUN-LI,2018-08-03
MakerGreen,Rookie,384,77.78%,ZEKU,2018-07-31
youbaek,Rookie,0,0%,G,2018-08-08
Lightning_Man,Rookie,108,15.38%,VEGA,2018-08-08
BBhunter,Rookie,139,16.67%,KEN,2018-08-03
0ovwwvo0,Rookie,0,12.50%,KEN,2018-08-12
ragna02,Rookie,213,66.67%,VEGA,2018-08-10
DarkSonic1,Rookie,0,4.35%,KEN,2018-08-12
BBONGAL,Rookie,0,0%,CAMMY,2018-07-23
